Card Name,Card Page Link,Apply Link,Image URL,Card Type,Joining Fee,Annual Fee,Best For,USP
,,,,,,,,
,,,,,,,,
,,,,,,,,
Cashback SBI Credit Card,https://cardinsider.com/sbi-card/cashback-sbi-credit-card/,https://cardinsider.com/go/sbicashback,,Cashback SBI Credit CardApply NowAdd to Compare(4.7/5)Joining Fee₹999 + GSTRenewal Fee₹999 + GSTBest Suited ForShopping | FoodReward TypeCashbackWelcome BenefitsN/A,Joining Fee₹999 + GSTRenewal Fee₹999 + GST,Joining Fee₹999 + GSTRenewal Fee₹999 + GST,Best Suited ForShopping | Food,Reward TypeCashback
Cashback SBI Credit Card,https://cardinsider.com/sbi-card/cashback-sbi-credit-card/,https://cardinsider.com/go/sbicashback,,Joining Fee₹999 + GSTRenewal Fee₹999 + GST,Joining Fee₹999 + GSTRenewal Fee₹999 + GST,Best Suited ForShopping | Food,Reward TypeCashback,Welcome BenefitsN/A
,,,,Joining Fee₹999 + GSTRenewal Fee₹999 + GST,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Swiggy HDFC Bank Credit Card,https://cardinsider.com/hdfc-bank/swiggy-hdfc-bank-credit-card/,https://cardinsider.com/go/hdfcswiggy,,Joining Fee₹500 + GSTRenewal Fee₹500 + GST,Joining Fee₹500 + GSTRenewal Fee₹500 + GST,Best Suited ForDining | Food,Reward TypeCashback,Welcome BenefitsComplimentary 3-Month Swiggy One Membership
,,,,Joining Fee₹500 + GSTRenewal Fee₹500 + GST,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
HDFC Bank Millennia Credit Card,https://cardinsider.com/hdfc-bank/hdfc-bank-millennia-credit-card/,https://cardinsider.com/go/hdfcbank,,"Joining Fee₹1,000 + GSTRenewal Fee₹1,000 + GST","Joining Fee₹1,000 + GSTRenewal Fee₹1,000 + GST",Best Suited ForShopping,Reward TypeCashback,"Welcome Benefits1,000 CashPoints"
,,,,"Joining Fee₹1,000 + GSTRenewal Fee₹1,000 + GST",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Amazon Pay ICICI Bank Credit Card,https://cardinsider.com/icici-bank/amazon-pay-icici-bank-credit-card/,https://cardinsider.com/go/iciciamazon,,Joining FeeLifetime FreeRenewal FeeLifetime Free,Joining FeeLifetime FreeRenewal FeeLifetime Free,Best Suited ForShopping,Reward TypeCashback,"Welcome BenefitsCashback and Discounts Up to ₹2,500 (Both for Prime and Non-Prime Members) and One Month EazyDiner Membership"
,,,,Joining FeeLifetime FreeRenewal FeeLifetime Free,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Flipkart Axis Bank Credit Card,https://cardinsider.com/axis-bank/flipkart-axis-bank-credit-card/,https://cardinsider.com/go/axisbank,,Joining FeeRs. 500 + GSTRenewal FeeRs. 500 + GST,Joining FeeRs. 500 + GSTRenewal FeeRs. 500 + GST,Best Suited ForShopping,Reward TypeCashback,Welcome BenefitsIntroductory Benefits Worth Rs. 600 on Card Issuance
,,,,Joining FeeRs. 500 + GSTRenewal FeeRs. 500 + GST,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
