Card Name,Pros,Cons,Card Page Link,Apply Link,Image URL,Annual Fee,Best For,USP,Joining Fees,Renewal Fees,Rewards and Benefits
Cashback SBI Credit Card,"Decent 5% cashback on online and 1% cashback on offline spends. The monthly cashback cap of Rs. 5,000 is high when compared to other cashback cards. Great for online spendings as most cashback cards don’t offer 5% back and have lower rewards.","There are several categories excluded from 1% cashback. It can be hard to reach the spend-based waiver as many major spend categories don’t accrue cashback. Complimentary lounge access has been discontinued on the card. During online sales, you do not get an instant discount on the cashback card.",https://cardinsider.com/sbi-card/cashback-sbi-credit-card/,https://cardinsider.com/go/sbicashback,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","['Shopping', 'Food']",Reward TypeCashback,N/A,₹999 + GST,₹999 + GST,"{'Movie & Dining': 'N/A', 'Rewards Rate': '5% Cashback for Online Spends. 1% Cashback for Offline Spends. Maximum Cashback of ₹5,000 in a Statement Cycle', 'Reward Redemption': 'Cashback earned with the card will be automatically credited to next month’s statement.', 'Travel': 'N/A', 'Domestic Lounge Access': 'N/A', 'International Lounge Access': 'N/A', 'Golf': 'N/A', 'Insurance Benefits': 'N/A'}"
Swiggy HDFC Bank Credit Card,"Get 10% cashback on all your Swiggy food delivery orders, including Genie and Instamart. Up to ₹1,500 cashback per month across major online shopping platforms. For food enthusiasts, a complimentary Swiggy One membership for three months is extremely beneficial.","Although this card offers great benefits on food, it could have included additional perks such as free airport lounge access.",https://cardinsider.com/hdfc-bank/swiggy-hdfc-bank-credit-card/,https://cardinsider.com/go/hdfcswiggy,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","['Dining', 'Food']",Reward TypeCashback,Complimentary 3-Month Swiggy One Membership,₹500 + GST,₹500 + GST,"{'Movie & Dining': '10% Cashback on Swiggy app including food orders, Instamart, Dineout, and more', 'Rewards Rate': '10% Cashback across Swiggy app, 5% Cashback on online spends, 1% Cashback on other categories', 'Reward Redemption': 'Cashback Against Credit Card Statement', 'Travel': 'Upto 5% cashback on merchants like Uber and Ola', 'Domestic Lounge Access': 'NA', 'International Lounge Access': 'NA', 'Golf': '12 Free Golf Lessons, 4 Free Rounds of Green Fees, and 50% Off on Golf Services', 'Insurance Benefits': 'NA'}"
HDFC Bank Millennia Credit Card,"Get high 5% cashback on partner merchants like Myntra, Amazon, Zomato, Swiggy, Uber, etc. Renewal fee waiver on spending Rs. 1 Lakh in the card anniversary year",You earn a low 1% cash back on offline/online spends at non-partner merchants The accelerated Cashpoints are capped at 1000 per statement cycle and you can earn 1000 Cashpoints at the normal 1x rate. A minimum of 500 Cashpoints are needed to redeem against the card statement balance,https://cardinsider.com/hdfc-bank/hdfc-bank-millennia-credit-card/,https://cardinsider.com/go/hdfcbank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",['Shopping'],Reward TypeCashback,"1,000 CashPoints","₹1,000 + GST","₹1,000 + GST","{'Movie & Dining': 'Flat ₹200 Discount on Swiggy Dineout (Minimum Order Value ₹2,000). Valid Twice Each Month', 'Rewards Rate': '5% Cashback Up to 1,000 CashPoints at Top Ten Online Merchants in India. 1% Cashback Up to 1,000 CashPoints on Other Eligible Spends', 'Reward Redemption': 'Rewards processed as CashPoints, 1 CP = Re. 1 while redeeming against statement balance of credit card and 1 CP = Rs. 0.30 while redeeming against products and vouchers in the product catalogue, and against flight/hotel booking.', 'Travel': 'N/A', 'Domestic Lounge Access': 'N/A', 'International Lounge Access': 'N/A', 'Golf': 'N/A', 'Insurance Benefits': 'N/A'}"
Amazon Pay ICICI Bank Credit Card,"This card is most useful to Amazon loyalist who fulfil their online shopping via Amazon. Enjoy 15% off at over 2,500 restaurants in India with the Culinary Treats Program of ICICI Bank. There is no max capping on the Amazon Pay balance that can be earned as cashback on your card.","This card is mainly for shopping with Amazon it does not provide other benefits like lounge access or entertainment benefits. If you shop on platforms other than Amazon then this card would not be most useful for you. If you prefer Flipkart over Amazon then check out the Flipkart Axis Bank Credit Card. The ICICI Amazon Credit Card offers a high reward rate of 5% on Amazon to Prime members, however, the reward rate on Amazon for non-Prime members is just 3%.",https://cardinsider.com/icici-bank/amazon-pay-icici-bank-credit-card/,https://cardinsider.com/go/iciciamazon,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",['Shopping'],Reward TypeCashback,"Cashback and Discounts Up to ₹2,500 (Both for Prime and Non-Prime Members) and One Month EazyDiner Membership",Lifetime Free,Lifetime Free,"{'Movie & Dining': 'A minimum of 15% discount on dining bills at restaurants participating in the Culinary Treats program', 'Rewards Rate': '5% cashback on Amazon purchases for Prime members and 3% cashback for Non-Prime members, 2% cashback on partner brands & 1% cashback on all other payments except fuel purchases', 'Reward Redemption': 'Cashback Credited to Amazon Pay Balance', 'Travel': 'N/A', 'Domestic Lounge Access': 'N/A', 'International Lounge Access': 'N/A', 'Golf': 'N/A', 'Insurance Benefits': 'N/A'}"
Flipkart Axis Bank Credit Card,"Flipkart Axis Bank Credit Card offers a very good reward rate of 5% on all spends on the e-commerce website Flipkart. Apart from Flipkart, you also get a good reward rate of 4% on spends at partner merchants, including famous names like Swiggy, Uber, PVR, and cult.fit. Another advantage of the Flipkart Axis Credit Card limit is that the card rewards you with cashback, which is directly adjusted against the card’s statement balance every month. Also, there is no upper limit on the amount of cashback that can be earned on the Flipkart Axis Bank Credit Card in a given month.","Flipkart Axis Bank Credit Card is definitely one of the best credit cards as far as online shopping is concerned, mainly if you prefer Flipkart for most of your purchases. You also get a cashback of 4% on online food delivery via Swiggy and on Uber rides. However, if you are someone who loves shopping offline at shopping malls or other small retail stores, Flipkart Axis Card is not the best pick for you as you get a cashback of 1% on offline spends. Flipkart Axis Bank Credit Card does not offer any insurance benefits like air accident cover or cover against loss/delay of luggage.",https://cardinsider.com/axis-bank/flipkart-axis-bank-credit-card/,https://cardinsider.com/go/axisbank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",['Shopping'],Reward TypeCashback,Introductory Benefits Worth Rs. 600 on Card Issuance,Rs. 500 + GST,Rs. 500 + GST,"{'Movie & Dining': '15% Up to ₹500 Off at Partner Restaurants With Axis Bank Dining Delights Program', 'Rewards Rate': '5% Cashback on Flipkart & Cleartrip, 4% Cashback on Preferred Partners (Swiggy, Uber, PVR, and cult.fit), and 1% Cashback on All Other Spends', 'Reward Redemption': 'N/A', 'Travel': 'Accelerated Cashback (4%) on Uber Rides', 'Domestic Lounge Access': 'N/A', 'International Lounge Access': 'N/A', 'Golf': 'N/A', 'Insurance Benefits': 'N/A'}"
American Express Membership Rewards® Credit Card,Membership Reward Points do not expire. There are no reward points earned on transactions made for fuel and utilities.,"This card is exclusively available to residents of specific cities (Delhi/NCR, Mumbai, Bangalore, Chennai, Pune, Hyderabad, Jaipur, Indore, Coimbatore, Chandigarh, Ahmedabad, Surat, Vadodara, Lucknow, Ludhiana, Nagpur, Nasik, Trivandrum and Mysuru).",https://cardinsider.com/american-express/american-express-membership-rewards-credit-card/,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",['Shopping'],Reward TypeReward Points,"4,000 Bonus Membership RPs can be availed on Spending of ₹15,000 within the first 90 Days of the Card Issuance","₹1,000 + GST","₹4,500 + GST","{'Movie & Dining': 'Get special dining discounts up to 20% off using your American Express Reward credit card at select restaurants', 'Rewards Rate': '1 membership reward point per Rs 50 spent excluding fuel transactions, Utility bill payments, insurance, and cash transactions', 'Reward Redemption': 'You can redeem the membership reward points accrued with American Express 18 and 24 Karat Gold Collection', 'Travel': 'N/A', 'Domestic Lounge Access': 'N/A', 'International Lounge Access': 'N/A', 'Golf': 'N/A', 'Insurance Benefits': 'N/A'}"
IDFC First Bank Ashva Metal Credit Card,"From domestic airports to international ones and even railway lounges across India, this card offers complimentary lounge access everywhere. With so many complimentary services and the added advantage of Visa Infinite, this card comes at an affordable fee of ₹2,999.","To fully take advantage of this card, you would need to spend more than ₹20,000 each month. Only when such spending is achieved can you earn 10X Reward Points and get access to free airport lounge visits. So those who can’t accomplish the spend of ₹20,000 month after month cannot fully experience the reward and privileges of this card. This card does not offer a spend-based annual fee waiver. Instead, you would need to pay the fee each year. Cardholders won’t be eligible for any renewal benefit also. All they can get is an annual benefit of ₹1,875 on spending ₹8 lakh in a year.",https://cardinsider.com/idfc-first-bank/ashva-credit-card/,https://cardinsider.com/go/idfc-ashva,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","['Travel', 'Shopping']",Reward TypeReward Points,"₹2,000 Cashback on Making Four Transactions of ₹500 or Above","₹2,999 + GST","₹2,999 + GST","{'Movie & Dining': 'BOGO on Movie Ticket Bookings Upto ₹400 With District by Zomato, Twice Each Month (Annual Benefit - ₹9,600)', 'Rewards Rate': '10X Reward Points/₹150 on Incremental Spends Above ₹20,000 Per Statement Cycle. 5X Reward Points/₹150 on Spends Upto ₹20,000. 3X RPs Are Also Awarded for Rent, Wallet Load, Education, and Government Transactions', 'Reward Redemption': 'Redeem for Vouchers/Cash Against Statement or Pay With Points. 1 RP = ₹0.25', 'Travel': '4 Complimentary Railway Lounge Access Each Quarter, 16 Each Year (For Both Primary and Add-On Cardholders)', 'Domestic Lounge Access': '4 Complimentary Lounge Access Each Quarter', 'International Lounge Access': '2 Complimentary Lounge Access Each Quarter', 'Golf': '2 Free Golf Rounds/Lessons on Spends of ₹20,000 Each in a Statement Cycle', 'Insurance Benefits': 'Purchase Protection, Personal Accident Cover, Free Trip Cancellation Protection, Travel Insurance and Credit Shield'}"
Tata Neu Infinity HDFC Bank Credit Card,10% cashback on the Tata Neu app. Low foreign currency markup of 2%.,NeuCoins expire after a period of one year. The minimum spend for the annual fee waiver is at a high price of ₹3 Lakhs.,https://cardinsider.com/hdfc-bank/tata-neu-infinity-hdfc-credit-card/,https://cardinsider.com/go/hdfctataneu,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","['Travel', 'Shopping']",Reward TypeNeuCoins,"1,499 NeuCoins on Tata Neu App","₹1,499 + GST","₹1,499 + GST","{'Movie & Dining': 'N/A', 'Rewards Rate': 'Up to 10% NeuCoins on TataNeu Spends, 5% NeuCoins on Tata Brand Spends and 1.5% NeuCoins on UPI Spends', 'Reward Redemption': '1 NeuCoin = ₹1', 'Travel': 'Complimentary Priority Pass (Visa Variant Only)', 'Domestic Lounge Access': '8 Complimentary Domestic Lounge Access Every Year (2 Each Quarter)', 'International Lounge Access': '4 Free Visits for Primary and Add-On Cardholders Each Year (One Per Quarter)', 'Golf': 'N/A', 'Insurance Benefits': 'Insurance cover worth ₹1 crore against air accidents, cover worth ₹15 lakhs against emergency hospitalization and lost card liability cover worth up to ₹9 lakhs.'}"
Airtel Axis Bank Credit Card,"You would get 25% exclusive cashback on Airtel Mobile, WiFi, Broadband and DTH services. Additionally, you will receive a 1% cashback on all other purchases. Airtel Axis Bank Credit Card has an easy application process, and the card is usually delivered between 7 to 10 days.","With the Airtel Axis Bank Credit Card, you have access to domestic lounges, but not international lounges. This card is handy for those who make payments for bills and utilities via Airtel. Users who use platforms like Amazon Pay or Google Pay cannot benefit from it greatly.",https://cardinsider.com/axis-bank/airtel-axis-bank-credit-card/,https://cardinsider.com/go/axisbank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","['Travel', 'Food', 'Utility Bill Payment']",Reward TypeCashback,Amazon Voucher Worth Rs. 500,₹500 + GST,₹500 + GST,"{'Movie & Dining': '15% Off Up to ₹500 Via EazyDiner', 'Rewards Rate': '25% cashback on Airtel Mobile, Broadband, WiFi, and DTH recharges, 10% cashback on utility bill payments via the Airtel Thanks app, 10% cashback on Swiggy, Zomato and BigBasket, and 1% cashback on other spends.', 'Reward Redemption': 'Direct Cashback Against Statement', 'Travel': 'N/A', 'Domestic Lounge Access': 'One Free Visit Each Quarter on Spends of ₹50,000 or More in the Previous Quarter', 'International Lounge Access': 'NA', 'Golf': 'N/A', 'Insurance Benefits': 'NA'}"
Axis Bank Neo Credit Card,Get 10% off while booking movies with BookMyShow. This card offers a discount on Zomato and even at partner restaurants via the Axis Dining Delights program.,There are no insurance benefits provided with this card. You can’t access international or domestic lounges at airports in India with the Axis Bank Neo Credit Card. The Axis Neo Credit Card offers a very poor reward rate of just 0.10%.,https://cardinsider.com/axis-bank/axis-bank-neo-credit-card/,https://cardinsider.com/go/axisbank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","['Shopping', 'Food']",Reward TypeReward Points,100% Cashback Up to ₹300 on First Utility Bill Payment,Nil,Nil,"{'Movie & Dining': 'You get 10% off on booking movie tickets on BookMyShow and 40% off food delivery while ordering with Zomato.', 'Rewards Rate': '1 EDGE REWARD Point/₹200 on All Eligible Spends (Reward Rate 0.10%)', 'Reward Redemption': 'The Edge Rewards can be redeemed against an array of categories at the Edge Rewards Website at a rate of 1 Edge RP = Re. 0.20.', 'Travel': 'NA', 'Domestic Lounge Access': 'NA', 'International Lounge Access': 'NA', 'Golf': 'NA', 'Insurance Benefits': 'NA'}"
